image,condition,ground_truth_tampered,predicted_tampered,severity,tamper_ratio
signal-2026-02-16-184150.png,global_brightness,True,False,,0.0014
signal-2026-02-16-184150.png,salt_pepper_2pct,True,True,high,0.9689
sipi_baboon.png,untampered,False,False,,0.0
sipi_baboon.png,paste_block_32,True,False,,0.0059
sipi_baboon.png,copy_move_32,True,False,,0.0059
sipi_baboon.png,blur_region_32,True,False,,0.0059
sipi_baboon.png,splice_32,True,False,,0.0059
sipi_baboon.png,paste_block_64,True,True,low,0.0156
sipi_baboon.png,copy_move_64,True,True,low,0.0195
sipi_baboon.png,blur_region_64,True,True,low,0.0244
sipi_baboon.png,splice_64,True,True,low,0.0195
sipi_baboon.png,paste_block_128,True,True,low,0.0225
sipi_baboon.png,copy_move_128,True,True,low,0.0664
sipi_baboon.png,blur_region_128,True,True,low,0.0674
sipi_baboon.png,splice_128,True,True,low,0.0654
sipi_baboon.png,global_brightness,True,False,,0.0
sipi_baboon.png,salt_pepper_2pct,True,True,high,0.9961
sipi_boat.png,untampered,False,False,,0.0
sipi_boat.png,paste_block_32,True,False,,0.0068
sipi_boat.png,copy_move_32,True,False,,0.0088
sipi_boat.png,blur_region_32,True,False,,0.002
sipi_boat.png,splice_32,True,False,,0.0088
sipi_boat.png,paste_block_64,True,True,low,0.0146
sipi_boat.png,copy_move_64,True,True,low,0.0234
sipi_boat.png,blur_region_64,True,True,low,0.0146
sipi_boat.png,splice_64,True,True,low,0.0244
sipi_boat.png,paste_block_128,True,True,low,0.0303
sipi_boat.png,copy_move_128,True,True,low,0.0684
sipi_boat.png,blur_region_128,True,True,low,0.0635
sipi_boat.png,splice_128,True,True,low,0.0713
sipi_boat.png,global_brightness,True,False,,0.0
sipi_boat.png,salt_pepper_2pct,True,True,high,0.9961
sipi_house.png,untampered,False,False,,0.0
sipi_house.png,paste_block_32,True,False,,0.0078
sipi_house.png,copy_move_32,True,False,,0.0078
sipi_house.png,blur_region_32,True,False,,0.0078
sipi_house.png,splice_32,True,False,,0.0078
sipi_house.png,paste_block_64,True,True,low,0.0146
sipi_house.png,copy_move_64,True,True,low,0.0234
sipi_house.png,blur_region_64,True,True,low,0.0215
sipi_house.png,splice_64,True,True,low,0.0225
sipi_house.png,paste_block_128,True,True,low,0.0283
sipi_house.png,copy_move_128,True,True,low,0.0781
sipi_house.png,blur_region_128,True,True,low,0.0732
sipi_house.png,splice_128,True,True,low,0.0791
sipi_house.png,global_brightness,True,False,,0.0
sipi_house.png,salt_pepper_2pct,True,True,high,0.9912
sipi_peppers.png,untampered,False,False,,0.0
sipi_peppers.png,paste_block_32,True,False,,0.0078
sipi_peppers.png,copy_move_32,True,False,,0.0088
sipi_peppers.png,blur_region_32,True,False,,0.0049
sipi_peppers.png,splice_32,True,False,,0.0088
sipi_peppers.png,paste_block_64,True,True,low,0.0146
sipi_peppers.png,copy_move_64,True,True,low,0.0186
sipi_peppers.png,blur_region_64,True,True,low,0.0117
sipi_peppers.png,splice_64,True,True,low,0.0195
sipi_peppers.png,paste_block_128,True,True,low,0.0312
sipi_peppers.png,copy_move_128,True,True,low,0.0791
sipi_peppers.png,blur_region_128,True,True,low,0.042
sipi_peppers.png,splice_128,True,True,low,0.0791
sipi_peppers.png,global_brightness,True,False,,0.0
sipi_peppers.png,salt_pepper_2pct,True,True,high,0.9971
